cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie_1,categorie_2,categorie_3,limite_qualite,limite_qualite_unite,limite_qualite_commentaire,valeur_sanitaire_1,valeur_sanitaire_1_unite,valeur_sanitaire_1_commentaire,valeur_sanitaire_2,valeur_sanitaire_2_unite,valeur_sanitaire_2_commentaire
TRIMC,5695,TRIMETHACARBE,Trimethacarbe,2686-99-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FNFS,1499,PHÉNAMIPHOS,Phénamiphos,22224-92-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MCP244,2751,"MCPP-2,4,4-TRIMETHYLPENTYL ESTER","MCPP-2,4,4-trimethylpentyl ester",217487-13-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MCP2OE,2754,MCPP-2 OTYL ESTER,MCPP-2 otyl ester,28473-03-02,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MCPA1B,2745,MCPA-1-BUTYL ESTER,MCPA-1-butyl ester,1713-12-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MCP2EE,2753,MCPP- 2-ETHYLHEXYL ESTER,MCPP- 2-ethylhexyl ester,71526-69-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MCP2BE,2752,MCPP-2-BUTOXYETHYL ESTER,MCPP-2-butoxyethyl ester,23359-62-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MCPNIB,2870,MECOPROP-N/ISO-BUTYL ESTER (MÉLANGE),Mecoprop-n/iso-butyl ester (mélange),,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MCPME,2755,MCPP-METHYL ESTER,MCPP-methyl ester,2786-19-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYCL,6611,PYRACLOFOS,Pyraclofos,77458-01-06,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FENIS,5627,FENIZON,Fenizon,80-38-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
EPN,1873,EPN,EPN,2104-64-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYFE,5509,PYRAFLUFEN ÉTHYL,Pyraflufen éthyl,129630-19-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ABAMECT,2007,ABAMECTIN,Abamectin,71751-41-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
VALIF,8045,VALIFENALATE,Valifenalate,283159-90-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FENOT,5970,FENOTHIOCARBE,Fenothiocarbe,62850-32-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PRXP,7442,PROXIMPHAN,Proximphan,2828-42-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DIMEP,7142,DIMÉPIPÉRATE,Dimépipérate,61432-55-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BUTAM,5710,BUTAMIFOS,Butamifos,36335-67-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MEPHOS,5791,MEPHOSFOLAN,Mephosfolan,0950-10-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
EDIF,5751,EDIFENPHOS,Edifenphos,17109-49-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYBUT,5826,PYRIBUTICARB,Pyributicarb,88678-67-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PRPA,6964,PROPAPHOS,Propaphos,7292-16-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DIMET,6972,DIMÉTHYLVINPHOS,Diméthylvinphos,2274-67-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FAMP,5761,FAMPHUR,Famphur,52-85-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TECNAZ,5413,TECNAZENE,Tecnazene,117-18-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TETRAS,5837,TETRASUL,Tetrasul,2227-13-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CLFSON,5553,CHLORFENSON,Chlorfenson,80-33-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FRAZ,7441,FURILAZOLE,Furilazole,121776-33-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PROFOX,8046,PROFOXYDIM,Profoxydim,139001-49-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FENAZAQ,2742,FÉNAZAQUIN,Fénazaquin,120928-09-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
4C2MPH,1634,CHLORO-4 MÉTHYLPHÉNOL-2,Chloro-4 Méthylphénol-2,1570-64-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FCLAZE,7513,FENCHLORAZOLE ETHYL,Fenchlorazole ethyl,103112-35-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TCLNAT,1720,TRICHLORONAT,Trichloronat,327-98-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BUFENC,7502,BUFENCARBE,Bufencarbe,8065-36-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CRUFOM,5725,CRUFOMATE,Crufomate,299-86-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CROTOX,5724,CROTOXYPHOS,Crotoxyphos,7700-17-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SULPRO,5831,SULPROFOS,Sulprofos,35400-43-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ALLYXY,7501,ALLYXYCARBE,Allyxycarbe,6392-46-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TEBUPI,7511,TEBUPIRIMFOS,Tebupirimfos,96182-53-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MEXAC,7143,MEXACARBATE,Mexacarbate,315-18-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MCPAEE,6942,"2,4-D 2-ETHYLHEXYL","2,4-D 2-Ethylhexyl",1928-43-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MERPHO,5840,MERPHOS,Merphos,150-50-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
AMIDIT,5697,AMIDITHION,Amidithion,919-76-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CYANFP,5726,CYANOFENPHOS,Cyanofenphos,13067-93-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
IBP,5777,IPROBENFOS (IBP),Iprobenfos (IBP),26087-47-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
AMIPRM,7516,AMIPROFOS-METHYL,Amiprofos-methyl,36001-88-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MECARB,5789,MECARBAM,Mecarbam,2595-54-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ISOXAT,5784,ISOXATHION,Isoxathion,18854-01-08,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SETHOX,1808,SETHOXYDIM,Sethoxydim,74051-80-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MTOLC,5796,METOLCARB,Metolcarb,1129-41-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TLINE,1658,TRALOMÉTHRINE,Tralométhrine,66841-25-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
EMAM,8102,EMAMECTINE,Emamectine,119791-41-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MITC,2722,MÉTHYL ISOTHIOCYANATE,Méthyl isothiocyanate,556-61-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FNAP,5691,FÉNOXAPROP,Fénoxaprop,95617-09-07,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
24DME,2873,"2,4-D-METHYL ESTER","2,4-D-methyl ester",1928-38-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MDNOCP,1677,MEPTYLDINOCAP,Meptyldinocap,131-72-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MANC,1211,MANCOZÈBE,Mancozèbe,07/01/8018,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DMT,1550,DÉMÉTON,Déméton,8065-48-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
KARBUT,7505,KARBUTILATE,Karbutilate,4849-32-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ISMTZN,5780,ISOMETHIOZIN,Isomethiozin,57052-04-07,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
AZYPRO,5699,AZIPROTRYNE,Aziprotryne,4658-28-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TBUC,5835,TERBUCARB,Terbucarb,02/11/1918,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FENFU,1843,FENFURAN,Fenfuran,24691-80-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FORME,1703,FORMÉTANATE,Formétanate,22259-30-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SYSTOX,1150,DÉMÉTON-O,Déméton-O,0298-03-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CLOFEN,1868,CLOFENTÉZINE,Clofentézine,74115-24-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
THIOPE,7514,THIOPHANATE ETHYL,Thiophanate ethyl,23564-06-09,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DMTS,1152,DÉMÉTON-S,Déméton-S,126-75-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MCPA2E,2748,MCPA-ETHYL ESTER,MCPA-ethyl ester,2698-38-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PRTT,5683,PERMÉTHRINE-TRANS,Perméthrine-trans,61949-77-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PRTC,5682,PERMÉTHRINE-CIS,Perméthrine-cis,61949-76-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DBCP,1479,"DIBROMO-1,2-CHLORO-3PROPANE","Dibromo-1,2-chloro-3propane",96-12-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DPLLTH,1697,DÉPALLETHRINE,Dépallethrine,584-79-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CNEB,1341,CHLORONEB,Chloroneb,2675-77-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BIFE,5545,BIFENAZATE,Bifenazate,149877-41-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BENO,1407,BENOMYL,Benomyl,17804-35-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PRIM,5488,PRIMISULFURON MÉTHYL,Primisulfuron méthyl,86209-51-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
EU,5484,ETHYLUREE (PESTICIDE),Ethyluree (pesticide),625-52-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
THIOCY2,7512,THIOCYCLAM HYDROGEN OXALATE,Thiocyclam hydrogen oxalate,31895-22-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FENOXP,5628,FENOXAPROP-P-ETHYL,Fenoxaprop-p-ethyl,71283-80-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HMTRIM,7585,HEPTAMETHYLTRISILOXANE MODIFIÉ,heptamethyltrisiloxane modifié,27306-78-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TMETH,5921,TÉTRAMÉTHRINE,Tétraméthrine,7696-12-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CLAQ,1758,CHLORDANE GAMMA,Chlordane gamma,5566-34-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CYTHIO,7503,CYTHIOATE,Cythioate,115-93-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BAM,7423,BENALAXYL-M,Benalaxyl-M,98243-83-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ACEQ,8047,ACEQUINOCYL,Acequinocyl,57960-19-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ETOXAZ,5625,ETOXAZOLE,Etoxazole,153233-91-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SDDTDE,6497,"SOMME  DDT, DDD, DDE","Somme  DDT, DDD, DDE",,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CARBOSU,1864,CARBOSULFAN,Carbosulfan,55285-14-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DDTS,3268,DDT SOMME,DDT somme,,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DCBUT,1904,DICLOBUTRAZOL,Diclobutrazol,75736-33-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TNC,7097,TRANS-NONACHLORE,Trans-nonachlore,39765-80-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PARATH,6947,PARATHIONS (ÉTHYL+MÉTHYL),Parathions (éthyl+méthyl),,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TFX,1715,THIOFANOX,Thiofanox,39196-18-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SPIDIC,8044,SPIRODICLOFEN,Spirodiclofen,148477-71-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BZDN,1607,BENZIDINE (PESTICIDE),Benzidine (pesticide),92-87-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CLTHIAM,1813,CHLORTHIAMIDE,Chlorthiamide,1918-13-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MCPAME,2749,MCPA-METHYL ESTER,MCPA-methyl ester,2436-73-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ZIRA,1722,ZIRAME,Zirame,137-30-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DITALM,5745,DITALIMFOS,Ditalimfos,5131-24-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TERBMME,6284,TERBUMÉTON ET SES MÉTABOLITES,Terbuméton et ses métabolites,,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MCPABE,6552,"2,4-D-BUTOTYL","2,4-D-butotyl",1929-73-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HCET,1656,HEXACHLOROÉTHANE (PESTICIDE),Hexachloroéthane (pesticide),67-72-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
NPA,1937,NAPTALAME,Naptalame,132-66-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TRIADEM,1811,TRIDEMORPHE,Tridemorphe,81412-43-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SULFOSA,2077,SULFOSATE,Sulfosate,81591-81-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TOXAPHE,1279,TOXAPHÈNE,Toxaphène,8001-35-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BANCOL,5542,BENSULTAP,Bensultap,17606-31-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CINIDON,2938,CINIDON-ETHYL,Cinidon-ethyl,142891-20-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SPINE,8041,SPINETORAM,Spinetoram,935545-74-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SPIMES,7738,SPIROMESIFEN,Spiromesifen,283594-90-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MILB,5655,MILBEMECTIN,Milbemectin,51596-10-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ISNRRN,6597,ISONORURON,Isonoruron,28805-78-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FENP,5630,FENPYROXIMATE,Fenpyroximate,134098-61-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PHNTN,2061,PHENOTHRINE,Phenothrine,26002-80-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
13DCP,1654,"DICHLOROPROPANE-1,3","Dichloropropane-1,3",142-28-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PTPD,7509,PENTHIOPYRAD,Penthiopyrad,183675-82-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FMTHN,1504,FORMOTHION,Formothion,2540-82-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PHDC,5668,PROHEXADIONE-CALCIUM,Prohexadione-calcium,127277-53-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HALM,8664,HALAUXIFEN-METHYL,Halauxifen-methyl,943831-98-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CYTP,7871,CYANTRANILIPROLE,Cyantraniliprole,736994-63-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
AZA,8582,AZADIRACHTIN,Azadirachtin,11141-17-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SULFO,8786,SULFOXAFLOR,Sulfoxaflor,946578-00-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MDB,,MANDESTROBINE,Mandestrobine,173662-97-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
OTP,7872,OXATHIAPIPROLIN,Oxathiapiprolin,1003318-67-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ISOF,,ISOFETAMID,Isofetamid,875915-78-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYRF,8583,PYRIOFENONE,Pyriofenone,688046-61-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FPDF,,FLUPYRADIFURONE,Flupyradifurone,951659-40-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
GAINE,8744,GAMMA CYHALOTHRINE,Gamma Cyhalothrine,76703-62-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DCPA,1867,CHLORTHAL,Chlorthal,2136-79-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ISCBMD,5779,ISOCARBAMIDE,Isocarbamide,30979-48-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ISCBPS,6596,ISOCARBOPHOS,Isocarbophos,24353-61-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BTCBX,7148,BUTOCARBOXIM,Butocarboxim,34681-10-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CARPRO,7147,CARPROPAMIDE,Carpropamide,104030-54-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DIPHNM,5614,DIPHENAMIDE,Diphenamide,957-51-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYROQU,5828,PYROQUILON,Pyroquilon,57369-32-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ISPTLN,5783,ISOPROTHIOLANE,Isoprothiolane,50512-35-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYRACA,5825,PYRACARBOLID,Pyracarbolid,24691-76-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
